car_ID,symboling,doornumber,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,logprice,fueltype_gas,engine_class_performance
1,3,2,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9.0,111,5000,21,27,13495.0,9.510074525452104,True,True
2,3,2,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9.0,111,5000,21,27,16500.0,9.711115659888671,True,True
3,1,2,94.5,171.2,65.5,52.4,2823,152,2.68,3.47,9.0,154,5000,19,26,16500.0,9.711115659888671,True,True
4,2,4,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10.0,102,5500,24,30,13950.0,9.543234787249512,True,False
5,2,4,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8.0,115,5500,18,22,17450.0,9.767094927630573,True,False
6,2,2,99.8,177.3,66.3,53.1,2507,136,3.19,3.4,8.5,110,5500,19,25,15250.0,9.632334782035558,True,False
7,1,4,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,110,5500,19,25,17710.0,9.781884730776879,True,False
8,1,4,105.8,192.7,71.4,55.7,2954,136,3.19,3.4,8.5,110,5500,19,25,18920.0,9.847974842605868,True,False
9,1,4,105.8,192.7,71.4,55.9,3086,131,3.13,3.4,8.3,140,5500,17,20,23875.0,10.08058716534893,True,False
10,0,2,99.5,178.2,67.9,52.0,3053,131,3.13,3.4,7.0,160,5500,16,22,17859.167,9.790272212805272,False,False
11,2,2,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,16430.0,9.706864211031315,True,False
12,0,4,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,16925.0,9.736547097780475,True,False
13,0,2,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,9.0,121,4250,21,28,20970.0,9.950848123895966,True,False
14,0,4,101.2,176.8,64.8,54.3,2765,164,3.31,3.19,9.0,121,4250,21,28,21105.0,9.9572652582166,True,False
15,1,4,103.5,189.0,66.9,55.7,3055,164,3.31,3.19,9.0,121,4250,20,25,24565.0,10.109077944602749,True,False
16,0,4,103.5,189.0,66.9,55.7,3230,209,3.62,3.39,8.0,182,5400,16,22,30760.0,10.333970423619581,True,False
17,0,2,103.5,193.8,67.9,53.7,3380,209,3.62,3.39,8.0,182,5400,16,22,41315.0,10.628980909135285,True,False
18,0,4,110.0,197.0,70.9,56.3,3505,209,3.62,3.39,8.0,182,5400,15,20,36880.0,10.51542467767053,True,False
19,2,2,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,9.5,48,5100,47,53,5151.0,8.546946149565585,True,True
20,1,2,94.5,155.9,63.6,52.0,1874,90,3.03,3.11,9.6,70,5400,38,43,6295.0,8.747510946478448,True,False
21,0,4,94.5,158.8,63.6,52.0,1909,90,3.03,3.11,9.6,70,5400,38,43,6575.0,8.791029857045965,True,False
22,1,2,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.41,68,5500,37,41,5572.0,8.625509334899697,True,False
23,1,2,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.4,68,5500,31,38,6377.0,8.760453046315272,True,False
24,1,2,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,7957.0,8.981807323377534,True,False
25,1,4,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,6229.0,8.736971085254146,True,False
26,1,4,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,6692.0,8.808668062106715,True,False
27,1,4,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,7609.0,8.937087036176523,True,False
28,1,2,93.7,157.3,63.8,50.6,2191,98,3.03,3.39,7.6,102,5500,24,30,8558.0,9.054621796976763,True,False
29,-1,4,103.3,174.6,64.6,59.8,2535,122,3.34,3.46,8.5,88,5000,24,30,8921.0,9.096163326913784,True,False
30,3,2,95.9,173.2,66.3,50.2,2811,156,3.6,3.9,7.0,145,5000,19,24,12964.0,9.469931564261438,True,False
31,2,2,86.6,144.6,63.9,50.8,1713,92,2.91,3.41,9.6,58,4800,49,54,6479.0,8.776321456449958,True,False
32,2,2,86.6,144.6,63.9,50.8,1819,92,2.91,3.41,9.2,76,6000,31,38,6855.0,8.832733591996416,True,False
33,1,2,93.7,150.0,64.0,52.6,1837,79,2.91,3.07,10.1,60,5500,38,42,5399.0,8.593969030218288,True,False
34,1,2,93.7,150.0,64.0,52.6,1940,92,2.91,3.41,9.2,76,6000,30,34,6529.0,8.784009071186633,True,False
35,1,2,93.7,150.0,64.0,52.6,1956,92,2.91,3.41,9.2,76,6000,30,34,7129.0,8.871926251117628,True,False
36,0,4,96.5,163.4,64.0,54.5,2010,92,2.91,3.41,9.2,76,6000,30,34,7295.0,8.894944460956886,True,False
37,0,4,96.5,157.1,63.9,58.3,2024,92,2.92,3.41,9.2,76,6000,30,34,7295.0,8.894944460956886,True,False
38,0,2,96.5,167.5,65.2,53.3,2236,110,3.15,3.58,9.0,86,5800,27,33,7895.0,8.973984926689743,True,False
39,0,2,96.5,167.5,65.2,53.3,2289,110,3.15,3.58,9.0,86,5800,27,33,9095.0,9.115480090952223,True,False
40,0,4,96.5,175.4,65.2,54.1,2304,110,3.15,3.58,9.0,86,5800,27,33,8845.0,9.087607606593886,True,False
41,0,4,96.5,175.4,62.5,54.1,2372,110,3.15,3.58,9.0,86,5800,27,33,10295.0,9.23941361946189,True,False
42,0,4,96.5,175.4,65.2,54.1,2465,110,3.15,3.58,9.0,101,5800,24,28,12945.0,9.468464892185638,True,False
43,1,2,96.5,169.1,66.0,51.0,2293,110,3.15,3.58,9.1,100,5500,25,31,10345.0,9.244258590179644,True,False
44,0,4,94.3,170.7,61.8,53.5,2337,111,3.31,3.23,8.5,78,4800,24,29,6785.0,8.82246957226897,True,False
45,1,2,94.5,155.9,63.6,52.0,1874,90,3.03,3.11,9.6,70,5400,38,43,8916.5,9.095658771892568,True,False
46,0,4,94.5,155.9,63.6,52.0,1909,90,3.03,3.11,9.6,70,5400,38,43,8916.5,9.095658771892568,True,False
47,2,2,96.0,172.6,65.2,51.4,2734,119,3.43,3.23,9.2,90,5000,24,29,11048.0,9.310004695089129,True,False
48,0,4,113.0,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,32250.0,10.381273322223919,True,True
49,0,4,113.0,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,35550.0,10.478695435231387,True,True
50,0,2,102.0,191.7,70.6,47.8,3950,326,3.54,2.76,11.5,262,5000,13,17,36000.0,10.491274217438248,True,True
51,1,2,93.1,159.1,64.2,54.1,1890,91,3.03,3.15,9.0,68,5000,30,31,5195.0,8.555451903533328,True,False
52,1,2,93.1,159.1,64.2,54.1,1900,91,3.03,3.15,9.0,68,5000,31,38,6095.0,8.715224041915372,True,False
53,1,2,93.1,159.1,64.2,54.1,1905,91,3.03,3.15,9.0,68,5000,31,38,6795.0,8.823942326585245,True,False
54,1,4,93.1,166.8,64.2,54.1,1945,91,3.03,3.15,9.0,68,5000,31,38,6695.0,8.809116258125274,True,False
55,1,4,93.1,166.8,64.2,54.1,1950,91,3.08,3.15,9.0,68,5000,31,38,7395.0,8.9085593751449,True,False
56,3,2,95.3,169.0,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23,10945.0,9.300638009956963,True,True
57,3,2,95.3,169.0,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23,11845.0,9.379661116592885,True,True
58,3,2,95.3,169.0,65.7,49.6,2385,70,3.33,3.255,9.4,101,6000,17,23,13645.0,9.521128433142438,True,True
59,3,2,95.3,169.0,65.7,49.6,2500,80,3.33,3.255,9.4,135,6000,16,23,15645.0,9.657906656102982,True,True
60,1,2,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,8845.0,9.087607606593886,True,False
61,0,4,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,8495.0,9.047233034106032,True,False
62,1,2,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,10595.0,9.2681374707024,True,False
63,0,4,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,10245.0,9.234545060673,True,False
64,0,4,98.8,177.8,66.5,55.5,2443,122,3.39,3.39,22.7,64,4650,36,42,10795.0,9.286838342948908,False,False
65,0,4,98.8,177.8,66.5,55.5,2425,122,3.39,3.39,8.6,84,4800,26,32,11245.0,9.327678864393416,True,False
66,0,4,104.9,175.0,66.1,54.4,2670,140,3.76,3.16,8.0,120,5000,19,27,18280.0,9.813562845008141,True,False
67,0,4,104.9,175.0,66.1,54.4,2700,134,3.43,3.64,22.0,72,4200,31,39,18344.0,9.81705782453774,False,False
68,-1,4,110.0,190.9,70.3,56.5,3515,183,3.58,3.64,21.5,123,4350,22,25,25552.0,10.148470870454794,False,False
69,-1,4,110.0,190.9,70.3,58.7,3750,183,3.58,3.64,21.5,123,4350,22,25,28248.0,10.248777937608223,False,False
70,0,2,106.7,187.5,70.3,54.9,3495,183,3.58,3.64,21.5,123,4350,22,25,28176.0,10.246225830735987,False,False
71,-1,4,115.6,202.6,71.7,56.3,3770,183,3.58,3.64,21.5,123,4350,22,25,31600.0,10.360912399575003,False,False
72,-1,4,115.6,202.6,71.7,56.5,3740,234,3.46,3.1,8.3,155,4750,16,18,34184.0,10.439512977323862,True,True
73,3,2,96.6,180.3,70.5,50.8,3685,234,3.46,3.1,8.3,155,4750,16,18,35056.0,10.464702061835247,True,True
74,0,4,120.9,208.1,71.7,56.7,3900,308,3.8,3.35,8.0,184,4500,14,16,40960.0,10.62035125971339,True,True
75,1,2,112.0,199.2,72.0,55.4,3715,304,3.8,3.35,8.0,184,4500,14,16,45400.0,10.72326738402944,True,True
76,1,2,102.7,178.4,68.0,54.8,2910,140,3.78,3.12,8.0,175,5000,19,24,16503.0,9.711297461543568,True,False
77,2,2,93.7,157.3,64.4,50.8,1918,92,2.97,3.23,9.4,68,5500,37,41,5389.0,8.592115117933497,True,False
78,2,2,93.7,157.3,64.4,50.8,1944,92,2.97,3.23,9.4,68,5500,31,38,6189.0,8.73052880173936,True,False
79,2,2,93.7,157.3,64.4,50.8,2004,92,2.97,3.23,9.4,68,5500,31,38,6669.0,8.805225202632306,True,False
80,1,2,93.0,157.3,63.8,50.8,2145,98,3.03,3.39,7.6,102,5500,24,30,7689.0,8.94754601503218,True,False
81,3,2,96.3,173.0,65.4,49.4,2370,110,3.17,3.46,7.5,116,5500,23,30,9959.0,9.20623194393164,True,False
82,3,2,96.3,173.0,65.4,49.4,2328,122,3.35,3.46,8.5,88,5000,25,32,8499.0,9.047703788498627,True,False
83,3,2,95.9,173.2,66.3,50.2,2833,156,3.58,3.86,7.0,145,5000,19,24,12629.0,9.44375103564617,True,False
84,3,2,95.9,173.2,66.3,50.2,2921,156,3.59,3.86,7.0,145,5000,19,24,14869.0,9.607033787697222,True,False
85,3,2,95.9,173.2,66.3,50.2,2926,156,3.59,3.86,7.0,145,5000,19,24,14489.0,9.581145019820722,True,False
86,1,4,96.3,172.4,65.4,51.6,2365,122,3.35,3.46,8.5,88,5000,25,32,6989.0,8.85209276347713,True,False
87,1,4,96.3,172.4,65.4,51.6,2405,122,3.35,3.46,8.5,88,5000,25,32,8189.0,9.010547069270189,True,False
88,1,4,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30,9279.0,9.13550906135318,True,False
89,-1,4,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30,9279.0,9.13550906135318,True,False
90,1,2,94.5,165.3,63.8,54.5,1889,97,3.15,3.29,9.4,69,5200,31,37,5499.0,8.612321536507814,True,False
91,1,2,94.5,165.3,63.8,54.5,2017,103,2.99,3.47,21.9,55,4800,45,50,7099.0,8.867709208039386,False,False
92,1,2,94.5,165.3,63.8,54.5,1918,97,3.15,3.29,9.4,69,5200,31,37,6649.0,8.802221746402456,True,False
93,1,4,94.5,165.3,63.8,54.5,1938,97,3.15,3.29,9.4,69,5200,31,37,6849.0,8.831857935197906,True,False
94,1,4,94.5,170.2,63.8,53.5,2024,97,3.15,3.29,9.4,69,5200,31,37,7349.0,8.90231952852887,True,False
95,1,2,94.5,165.3,63.8,54.5,1951,97,3.15,3.29,9.4,69,5200,31,37,7299.0,8.895492631451633,True,False
96,1,2,94.5,165.6,63.8,53.3,2028,97,3.15,3.29,9.4,69,5200,31,37,7799.0,8.961750799330497,True,False
97,1,4,94.5,165.3,63.8,54.5,1971,97,3.15,3.29,9.4,69,5200,31,37,7499.0,8.92252495730139,True,False
98,1,4,94.5,170.2,63.8,53.5,2037,97,3.15,3.29,9.4,69,5200,31,37,7999.0,8.987071812848821,True,False
99,2,2,95.1,162.4,63.8,53.3,2008,97,3.15,3.29,9.4,69,5200,31,37,8249.0,9.017847259860732,True,False
100,0,4,97.2,173.4,65.2,54.7,2324,120,3.33,3.47,8.5,97,5200,27,34,8949.0,9.099297073182859,True,False
101,0,4,97.2,173.4,65.2,54.7,2302,120,3.33,3.47,8.5,97,5200,27,34,9549.0,9.164191715950203,True,False
102,0,4,100.4,181.7,66.5,55.1,3095,181,3.43,3.27,9.0,152,5200,17,22,13499.0,9.510370887608827,True,True
103,0,4,100.4,184.6,66.5,56.1,3296,181,3.43,3.27,9.0,152,5200,17,22,14399.0,9.57491403870827,True,True
104,0,4,100.4,184.6,66.5,55.1,3060,181,3.43,3.27,9.0,152,5200,19,25,13499.0,9.510370887608827,True,True
105,3,2,91.3,170.7,67.9,49.7,3071,181,3.43,3.27,9.0,160,5200,19,25,17199.0,9.752606521576492,True,True
106,3,2,91.3,170.7,67.9,49.7,3139,181,3.43,3.27,7.8,200,5200,17,23,19699.0,9.888323152016355,True,True
107,1,2,99.2,178.5,67.9,49.7,3139,181,3.43,3.27,9.0,160,5200,19,25,18399.0,9.820051594294094,True,True
108,0,4,107.9,186.7,68.4,56.7,3020,120,3.46,3.19,8.4,97,5000,19,24,11900.0,9.38429367909962,True,True
109,0,4,107.9,186.7,68.4,56.7,3197,152,3.7,3.52,21.0,95,4150,28,33,13200.0,9.487972108574462,False,True
110,0,4,114.2,198.9,68.4,58.7,3230,120,3.46,3.19,8.4,97,5000,19,24,12440.0,9.42867236629317,True,True
111,0,4,114.2,198.9,68.4,58.7,3430,152,3.7,3.52,21.0,95,4150,25,25,13860.0,9.536762272743895,False,True
112,0,4,107.9,186.7,68.4,56.7,3075,120,3.46,2.19,8.4,95,5000,19,24,15580.0,9.65374331942474,True,True
113,0,4,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21.0,95,4150,28,33,16900.0,9.735068900911164,False,True
114,0,4,114.2,198.9,68.4,56.7,3285,120,3.46,2.19,8.4,95,5000,19,24,16695.0,9.722864552377755,True,True
115,0,4,114.2,198.9,68.4,58.7,3485,152,3.7,3.52,21.0,95,4150,25,25,17075.0,9.74537068443899,False,True
116,0,4,107.9,186.7,68.4,56.7,3075,120,3.46,3.19,8.4,97,5000,19,24,16630.0,9.718963572186974,True,True
117,0,4,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21.0,95,4150,28,33,17950.0,9.795345393916424,False,True
118,0,4,108.0,186.7,68.3,56.0,3130,134,3.61,3.21,7.0,142,5600,18,24,18150.0,9.806425839692997,True,True
119,1,2,93.7,157.3,63.8,50.8,1918,90,2.97,3.23,9.4,68,5500,37,41,5572.0,8.625509334899697,True,False
120,1,2,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,7957.0,8.981807323377534,True,False
121,1,4,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,6229.0,8.736971085254146,True,False
122,1,4,93.7,167.3,63.8,50.8,1989,90,2.97,3.23,9.4,68,5500,31,38,6692.0,8.808668062106715,True,False
123,1,4,93.7,167.3,63.8,50.8,2191,98,2.97,3.23,9.4,68,5500,31,38,7609.0,8.937087036176523,True,False
124,-1,4,103.3,174.6,64.6,59.8,2535,122,3.35,3.46,8.5,88,5000,24,30,8921.0,9.096163326913784,True,False
125,3,2,95.9,173.2,66.3,50.2,2818,156,3.59,3.86,7.0,145,5000,19,24,12764.0,9.454383987398135,True,False
126,3,2,94.5,168.9,68.3,50.2,2778,151,3.94,3.11,9.5,143,5500,19,27,22018.0,9.999615579630348,True,False
127,3,2,89.5,168.9,65.0,51.6,2756,194,3.74,2.9,9.5,207,5900,17,25,32528.0,10.389856535868129,True,False
128,3,2,89.5,168.9,65.0,51.6,2756,194,3.74,2.9,9.5,207,5900,17,25,34028.0,10.434938994095775,True,False
129,3,2,89.5,168.9,65.0,51.6,2800,194,3.74,2.9,9.5,207,5900,17,25,37028.0,10.519429662187102,True,False
130,1,2,98.4,175.7,72.3,50.5,3366,203,3.94,3.11,10.0,288,5750,17,28,31400.5,10.354579095336446,True,True
131,0,4,96.1,181.5,66.5,55.2,2579,132,3.46,3.9,8.7,90,5100,23,31,9295.0,9.137231900155545,True,False
132,2,2,96.1,176.8,66.6,50.5,2460,132,3.46,3.9,8.7,90,5100,23,31,9895.0,9.199784858036667,True,False
133,3,2,99.1,186.6,66.5,56.1,2658,121,3.54,3.07,9.31,110,5250,21,28,11850.0,9.380083146563278,True,False
134,2,4,99.1,186.6,66.5,56.1,2695,121,3.54,3.07,9.3,110,5250,21,28,12170.0,9.406729185981574,True,False
135,3,2,99.1,186.6,66.5,56.1,2707,121,2.54,2.07,9.3,110,5250,21,28,15040.0,9.618468597503831,True,False
136,2,4,99.1,186.6,66.5,56.1,2758,121,3.54,3.07,9.3,110,5250,21,28,15510.0,9.649240256170584,True,False
137,3,2,99.1,186.6,66.5,56.1,2808,121,3.54,3.07,9.0,160,5500,19,26,18150.0,9.806425839692997,True,True
138,2,4,99.1,186.6,66.5,56.1,2847,121,3.54,3.07,9.0,160,5500,19,26,18620.0,9.831991550831058,True,True
139,2,2,93.7,156.9,63.4,53.7,2050,97,3.62,2.36,9.0,69,4900,31,36,5118.0,8.540519016719735,True,False
140,2,2,93.7,157.9,63.6,53.7,2120,108,3.62,2.64,8.7,73,4400,26,31,7053.0,8.86120833720818,True,False
141,2,2,93.3,157.3,63.8,55.7,2240,108,3.62,2.64,8.7,73,4400,26,31,7603.0,8.936298185228436,True,False
142,0,4,97.2,172.0,65.4,52.5,2145,108,3.62,2.64,9.5,82,4800,32,37,7126.0,8.871505346165781,True,False
143,0,4,97.2,172.0,65.4,52.5,2190,108,3.62,2.64,9.5,82,4400,28,33,7775.0,8.958668737047434,True,False
144,0,4,97.2,172.0,65.4,52.5,2340,108,3.62,2.64,9.0,94,5200,26,32,9960.0,9.206332350578643,True,False
145,0,4,97.0,172.0,65.4,54.3,2385,108,3.62,2.64,9.0,82,4800,24,25,9233.0,9.130539301772627,True,False
146,0,4,97.0,172.0,65.4,54.3,2510,108,3.62,2.64,7.7,111,4800,24,29,11259.0,9.32892308780313,True,False
147,0,4,97.0,173.5,65.4,53.0,2290,108,3.62,2.64,9.0,82,4800,28,32,7463.0,8.917712757131387,True,False
148,0,4,97.0,173.5,65.4,53.0,2455,108,3.62,2.64,9.0,94,5200,25,31,10198.0,9.2299469016151,True,False
149,0,4,96.9,173.6,65.4,54.9,2420,108,3.62,2.64,9.0,82,4800,23,29,8013.0,8.98882050177807,True,False
150,0,4,96.9,173.6,65.4,54.9,2650,108,3.62,2.64,7.7,111,4800,23,23,11694.0,9.366831168735615,True,False
151,1,2,95.7,158.7,63.6,54.5,1985,92,3.05,3.03,9.0,62,4800,35,39,5348.0,8.584477938221834,True,False
152,1,2,95.7,158.7,63.6,54.5,2040,92,3.05,3.03,9.0,62,4800,31,38,6338.0,8.754318540250866,True,False
153,1,4,95.7,158.7,63.6,54.5,2015,92,3.05,3.03,9.0,62,4800,31,38,6488.0,8.77770959579525,True,False
154,0,4,95.7,169.7,63.6,59.1,2280,92,3.05,3.03,9.0,62,4800,31,37,6918.0,8.841881989497114,True,False
155,0,4,95.7,169.7,63.6,59.1,2290,92,3.05,3.03,9.0,62,4800,27,32,7898.0,8.974364841846596,True,False
156,0,4,95.7,169.7,63.6,59.1,3110,92,3.05,3.03,9.0,62,4800,27,32,8778.0,9.080003870248179,True,False
157,0,4,95.7,166.3,64.4,53.0,2081,98,3.19,3.03,9.0,70,4800,30,37,6938.0,8.844768827529695,True,False
158,0,4,95.7,166.3,64.4,52.8,2109,98,3.19,3.03,9.0,70,4800,30,37,7198.0,8.881558488638976,True,False
159,0,4,95.7,166.3,64.4,53.0,2275,110,3.27,3.35,22.5,56,4500,34,36,7898.0,8.974364841846596,False,False
160,0,4,95.7,166.3,64.4,52.8,2275,110,3.27,3.35,22.5,56,4500,38,47,7788.0,8.960339366492091,False,False
161,0,4,95.7,166.3,64.4,53.0,2094,98,3.19,3.03,9.0,70,4800,38,47,7738.0,8.953898535260459,True,False
162,0,4,95.7,166.3,64.4,52.8,2122,98,3.19,3.03,9.0,70,4800,28,34,8358.0,9.03097444300786,True,False
163,0,4,95.7,166.3,64.4,52.8,2140,98,3.19,3.03,9.0,70,4800,28,34,9258.0,9.133243321591216,True,False
164,1,2,94.5,168.7,64.0,52.6,2169,98,3.19,3.03,9.0,70,4800,29,34,8058.0,8.994420665751292,True,False
165,1,2,94.5,168.7,64.0,52.6,2204,98,3.19,3.03,9.0,70,4800,29,34,8238.0,9.016512874996026,True,False
166,1,2,94.5,168.7,64.0,52.6,2265,98,3.24,3.08,9.4,112,6600,26,29,9298.0,9.13755460225053,True,True
167,1,2,94.5,168.7,64.0,52.6,2300,98,3.24,3.08,9.4,112,6600,26,29,9538.0,9.16303909885817,True,True
168,2,2,98.4,176.2,65.6,52.0,2540,146,3.62,3.5,9.3,116,4800,24,30,8449.0,9.041803370152845,True,False
169,2,2,98.4,176.2,65.6,52.0,2536,146,3.62,3.5,9.3,116,4800,24,30,9639.0,9.173572647783969,True,False
170,2,2,98.4,176.2,65.6,52.0,2551,146,3.62,3.5,9.3,116,4800,24,30,9989.0,9.20923976653215,True,False
171,2,2,98.4,176.2,65.6,52.0,2679,146,3.62,3.5,9.3,116,4800,24,30,11199.0,9.323579767582693,True,False
172,2,2,98.4,176.2,65.6,52.0,2714,146,3.62,3.5,9.3,116,4800,24,30,11549.0,9.354354132115088,True,False
173,2,2,98.4,176.2,65.6,53.0,2975,146,3.62,3.5,9.3,116,4800,24,30,17669.0,9.77956697061665,True,False
174,-1,4,102.4,175.6,66.5,54.9,2326,122,3.31,3.54,8.7,92,4200,29,34,8948.0,9.09918532261002,True,False
175,-1,4,102.4,175.6,66.5,54.9,2480,110,3.27,3.35,22.5,73,4500,30,33,10698.0,9.277812087091196,False,False
176,-1,4,102.4,175.6,66.5,53.9,2414,122,3.31,3.54,8.7,92,4200,27,32,9988.0,9.209139651399664,True,False
177,-1,4,102.4,175.6,66.5,54.9,2414,122,3.31,3.54,8.7,92,4200,27,32,10898.0,9.296334565143043,True,False
178,-1,4,102.4,175.6,66.5,53.9,2458,122,3.31,3.54,8.7,92,4200,27,32,11248.0,9.327945614050446,True,False
179,3,2,102.9,183.5,67.7,52.0,2976,171,3.27,3.35,9.3,161,5200,20,24,16558.0,9.71462464769875,True,True
180,3,2,102.9,183.5,67.7,52.0,3016,171,3.27,3.35,9.3,161,5200,19,24,15998.0,9.680218993408767,True,True
181,-1,4,104.5,187.8,66.5,54.1,3131,171,3.27,3.35,9.2,156,5200,20,24,15690.0,9.660778845727078,True,True
182,-1,4,104.5,187.8,66.5,54.1,3151,161,3.27,3.35,9.2,156,5200,19,24,15750.0,9.66459564425378,True,True
183,2,2,97.3,171.7,65.5,55.7,2261,97,3.01,3.4,23.0,52,4800,37,46,7775.0,8.958668737047434,False,False
184,2,2,97.3,171.7,65.5,55.7,2209,109,3.19,3.4,9.0,85,5250,27,34,7975.0,8.984066927653044,True,False
185,2,4,97.3,171.7,65.5,55.7,2264,97,3.01,3.4,23.0,52,4800,37,46,7995.0,8.986571625268054,False,False
186,2,4,97.3,171.7,65.5,55.7,2212,109,3.19,3.4,9.0,85,5250,27,34,8195.0,9.01127949117793,True,False
187,2,4,97.3,171.7,65.5,55.7,2275,109,3.19,3.4,9.0,85,5250,27,34,8495.0,9.047233034106032,True,False
188,2,4,97.3,171.7,65.5,55.7,2319,97,3.01,3.4,23.0,68,4500,37,42,9495.0,9.158520623246385,False,False
189,2,4,97.3,171.7,65.5,55.7,2300,109,3.19,3.4,10.0,100,5500,26,32,9995.0,9.209840246934501,True,False
190,3,2,94.5,159.3,64.2,55.6,2254,109,3.19,3.4,8.5,90,5500,24,29,11595.0,9.358329249689632,True,False
191,3,2,94.5,165.7,64.0,51.4,2221,109,3.19,3.4,8.5,90,5500,24,29,9980.0,9.20833836930551,True,False
192,0,4,100.4,180.2,66.9,55.1,2661,136,3.19,3.4,8.5,110,5500,19,24,13295.0,9.49514330367712,True,False
193,0,4,100.4,180.2,66.9,55.1,2579,97,3.01,3.4,23.0,68,4500,33,38,13845.0,9.535679435605061,False,False
194,0,4,100.4,183.1,66.9,55.1,2563,109,3.19,3.4,9.0,88,5500,25,31,12290.0,9.416541202560081,True,False
195,-2,4,104.3,188.8,67.2,56.2,2912,141,3.78,3.15,9.5,114,5400,23,28,12940.0,9.468078568054892,True,False
196,-1,4,104.3,188.8,67.2,57.5,3034,141,3.78,3.15,9.5,114,5400,23,28,13415.0,9.504128762859725,True,False
197,-2,4,104.3,188.8,67.2,56.2,2935,141,3.78,3.15,9.5,114,5400,24,28,15985.0,9.679406061493943,True,False
198,-1,4,104.3,188.8,67.2,57.5,3042,141,3.78,3.15,9.5,114,5400,24,28,16515.0,9.71202433782489,True,False
199,-2,4,104.3,188.8,67.2,56.2,3045,130,3.62,3.15,7.5,162,5100,17,22,18420.0,9.821192309809298,True,False
200,-1,4,104.3,188.8,67.2,57.5,3157,130,3.62,3.15,7.5,162,5100,17,22,18950.0,9.849559210510572,False,False
201,-1,4,109.1,188.8,68.9,55.5,2952,141,3.78,3.15,9.5,114,5400,23,28,16845.0,9.731809155840653,True,False
202,-1,4,109.1,188.8,68.8,55.5,3049,141,3.78,3.15,8.7,160,5300,19,25,19045.0,9.854559878912704,True,False
203,-1,4,109.1,188.8,68.9,55.5,3012,173,3.58,2.87,8.8,134,5500,18,23,21485.0,9.975110296209095,True,True
204,-1,4,109.1,188.8,68.9,55.5,3217,145,3.01,3.4,23.0,106,4800,26,27,22470.0,10.019936365179374,False,False
205,-1,4,109.1,188.8,68.9,55.5,3062,141,3.78,3.15,9.5,114,5400,19,25,22625.0,10.026810768568128,True,False
